district,entity_type,facility_area,enterprise_count,occupancy_rate,service_types,project_field,total_funding,success_rate,patent_applications,talent_count,industry_cooperation,annual_events,govt_support,establishment_date
经开区,孵化器,17178.92,57,0.65,"['创业辅导', '场地服务', '投融资服务']",新能源,101371.94,0.38,47,279,5,11,801.47,2023-02-22
曲江新区,孵化器,8485.48,37,0.66,"['投融资服务', '场地服务', '政策咨询', '创业辅导']",智能制造,201040.2,0.3,53,224,7,14,669.81,2023-04-17
碑林区,众创空间,1201.81,10,0.7,"['联合办公', '创业培训', '资源对接']",生物医药,37730.91,0.17,8,34,15,20,175.25,2022-09-06
高新区,科技园区,161908.04,283,0.89,"['知识产权', '人才服务', '产业集群', '研发支持']",人工智能,635278.68,0.38,510,1367,20,6,558.99,2023-10-21
灞桥区,孵化器,14556.61,50,0.62,"['投融资服务', '政策咨询', '场地服务']",生物医药,192306.78,0.17,37,363,12,18,210.09,2019-01-24
莲湖区,众创空间,1732.93,47,0.7,"['资源对接', '联合办公']",文创设计,10253.74,0.18,67,328,8,16,222.24,2023-08-14
灞桥区,孵化器,14614.93,50,0.69,"['投融资服务', '政策咨询', '场地服务']",智能制造,313548.79,0.2,46,282,8,21,444.53,2023-10-01
碑林区,众创空间,2165.95,30,0.82,"['资源对接', '联合办公']",智能制造,95374.85,0.2,44,182,8,19,211.33,2020-02-27
新城区,众创空间,2162.83,35,0.61,"['资源对接', '创业培训']",文创设计,37450.02,0.18,54,231,17,17,234.23,2023-04-12
长安区,科技园区,190293.03,489,0.85,"['人才服务', '研发支持', '知识产权']",生物医药,3351760.55,0.3,604,2046,10,9,932.82,2020-08-10
雁塔区,众创空间,3591.71,14,0.8,"['联合办公', '资源对接', '创业培训']",生物医药,23223.62,0.28,8,70,7,16,426.99,2023-05-12
曲江新区,孵化器,6417.53,58,0.73,"['创业辅导', '投融资服务', '政策咨询', '场地服务']",人工智能,231725.53,0.3,71,414,6,12,303.28,2022-10-28
曲江新区,孵化器,17957.81,82,0.61,"['场地服务', '投融资服务', '政策咨询', '创业辅导']",生物医药,403858.18,0.26,114,336,19,21,564.03,2019-10-06
新城区,众创空间,4756.38,34,0.73,"['资源对接', '创业培训', '联合办公']",文创设计,62213.15,0.18,37,172,13,15,540.94,2022-06-10
新城区,众创空间,3895.35,36,0.75,"['资源对接', '联合办公']",电子商务,28130.64,0.2,60,224,16,23,413.38,2019-10-05
新城区,众创空间,2390.51,31,0.62,"['资源对接', '联合办公']",人工智能,125495.61,0.16,27,238,13,10,643.18,2020-04-30
长安区,科技园区,83681.65,113,0.94,"['人才服务', '产业集群']",人工智能,295196.09,0.34,76,893,16,16,885.4,2021-08-28
曲江新区,孵化器,10531.62,91,0.79,"['政策咨询', '场地服务']",智能制造,612461.57,0.3,90,299,18,9,265.75,2019-09-12
雁塔区,众创空间,3991.88,23,0.74,"['创业培训', '联合办公', '资源对接']",智能制造,80110.77,0.32,26,109,18,8,800.96,2019-08-17
高新区,孵化器,17468.43,75,0.8,"['创业辅导', '场地服务']",生物医药,89059.68,0.33,119,401,6,6,405.88,2022-08-09
碑林区,孵化器,12071.59,93,0.64,"['投融资服务', '政策咨询', '场地服务', '创业辅导']",新能源,126981.25,0.23,185,291,14,24,704.66,2020-09-10
碑林区,众创空间,1316.01,44,0.87,"['联合办公', '资源对接']",文创设计,48838.36,0.23,32,182,14,14,995.71,2021-05-04
高新区,孵化器,10193.06,31,0.69,"['投融资服务', '政策咨询', '场地服务', '创业辅导']",电子商务,38413.6,0.47,55,151,20,11,973.02,2019-05-20
新城区,众创空间,2838.08,43,0.62,"['联合办公', '创业培训', '资源对接']",生物医药,133722.16,0.14,76,293,5,16,933.11,2019-01-27
经开区,孵化器,16103.45,37,0.63,"['创业辅导', '政策咨询', '场地服务']",电子商务,110298.24,0.42,25,292,17,24,305.09,2022-05-31
莲湖区,众创空间,3714.7,43,0.89,"['创业培训', '联合办公']",新能源,239203.66,0.18,53,148,5,10,798.78,2021-07-29
雁塔区,众创空间,3160.41,22,0.91,"['资源对接', '联合办公']",新能源,18615.05,0.36,23,102,18,17,783.36,2021-09-20
灞桥区,科技园区,107429.92,136,0.9,"['研发支持', '产业集群']",新能源,393500.18,0.23,82,894,7,24,528.53,2022-04-21
经开区,孵化器,15661.18,82,0.68,"['投融资服务', '政策咨询', '创业辅导']",智能制造,314845.61,0.34,98,368,19,16,376.7,2019-03-12
长安区,孵化器,9971.09,66,0.85,"['政策咨询', '创业辅导', '场地服务', '投融资服务']",新能源,310259.76,0.38,56,300,9,10,357.49,2021-09-02
高新区,孵化器,17491.48,82,0.77,"['创业辅导', '投融资服务', '场地服务', '政策咨询']",文创设计,159795.22,0.43,44,565,6,7,726.56,2022-04-14
经开区,科技园区,145953.2,185,0.6,"['研发支持', '知识产权']",生物医药,1044097.53,0.3,238,1235,6,9,127.62,2020-03-10
碑林区,众创空间,2417.97,39,0.63,"['资源对接', '联合办公']",生物医药,87871.08,0.17,32,124,8,7,550.45,2020-08-08
经开区,孵化器,9323.94,90,0.72,"['投融资服务', '政策咨询', '场地服务', '创业辅导']",电子商务,52466.1,0.42,141,563,19,4,503.14,2019-05-28
新城区,众创空间,4817.16,36,0.93,"['联合办公', '创业培训']",人工智能,38214.9,0.16,59,211,5,20,510.73,2021-05-11
雁塔区,众创空间,3980.05,18,0.69,"['联合办公', '资源对接']",智能制造,89076.37,0.32,18,107,16,16,908.62,2021-08-15
长安区,科技园区,179230.92,421,0.76,"['人才服务', '知识产权', '研发支持']",智能制造,1510197.89,0.34,565,2558,10,21,649.93,2019-10-11
新城区,众创空间,2078.97,50,0.63,"['联合办公', '资源对接', '创业培训']",新能源,261770.99,0.18,34,228,15,9,534.46,2019-02-27
经开区,孵化器,11272.55,42,0.71,"['场地服务', '创业辅导', '投融资服务']",电子商务,92461.05,0.42,63,279,12,18,168.02,2020-11-04
高新区,科技园区,51056.12,400,0.89,"['研发支持', '人才服务', '产业集群']",智能制造,1557102.23,0.38,313,1981,8,22,512.35,2023-02-07
新城区,众创空间,3292.52,39,0.79,"['联合办公', '创业培训', '资源对接']",电子商务,17725.35,0.2,67,233,18,15,351.58,2020-09-28
经开区,科技园区,104765.77,347,0.6,"['产业集群', '研发支持', '知识产权', '人才服务']",生物医药,830050.36,0.3,586,1239,17,22,434.44,2023-05-16
碑林区,众创空间,4835.39,13,0.79,"['创业培训', '联合办公']",人工智能,35243.09,0.2,26,53,17,18,412.25,2019-10-07
高新区,科技园区,84444.07,198,0.9,"['人才服务', '知识产权']",电子商务,132827.42,0.47,260,861,7,19,323.82,2020-03-14
经开区,科技园区,195220.2,153,0.75,"['研发支持', '人才服务', '知识产权']",新能源,872798.08,0.38,141,1098,13,8,436.05,2020-09-08
新城区,众创空间,3856.63,30,0.78,"['资源对接', '创业培训']",新能源,49864.29,0.18,30,232,7,18,860.18,2023-02-28
经开区,科技园区,174882.31,398,0.89,"['研发支持', '产业集群', '知识产权', '人才服务']",新能源,1373540.78,0.38,740,1621,17,13,116.22,2019-07-12
曲江新区,孵化器,17390.21,97,0.71,"['政策咨询', '创业辅导', '场地服务']",电子商务,183140.25,0.38,152,557,18,16,814.34,2022-03-19
新城区,众创空间,1957.1,50,0.89,"['创业培训', '联合办公']",文创设计,21236.32,0.18,55,306,7,5,245.23,2020-07-03
经开区,孵化器,8317.32,47,0.9,"['投融资服务', '创业辅导', '政策咨询', '场地服务']",生物医药,306733.14,0.3,71,287,8,19,629.54,2019-11-09
经开区,孵化器,19941.82,72,0.94,"['政策咨询', '场地服务', '投融资服务']",生物医药,483955.45,0.3,58,473,6,23,126.49,2022-05-13
灞桥区,众创空间,3947.88,24,0.61,"['资源对接', '创业培训']",智能制造,129663.34,0.2,30,130,13,19,962.92,2022-04-18
高新区,科技园区,140908.64,205,0.63,"['产业集群', '知识产权', '人才服务', '研发支持']",智能制造,1272520.07,0.38,260,1499,10,23,734.05,2023-04-13
新城区,众创空间,1909.67,10,0.83,"['创业培训', '资源对接', '联合办公']",新能源,9105.54,0.18,14,67,16,12,470.29,2021-05-06
高新区,孵化器,17643.92,31,0.95,"['场地服务', '政策咨询', '投融资服务', '创业辅导']",电子商务,88550.28,0.47,43,172,8,20,632.08,2022-01-15
雁塔区,众创空间,1890.58,46,0.81,"['资源对接', '创业培训']",新能源,83736.54,0.36,84,178,10,10,848.7,2022-11-09
经开区,科技园区,78860.56,202,0.79,"['产业集群', '知识产权', '人才服务', '研发支持']",生物医药,1134401.31,0.3,134,1417,11,20,544.88,2021-10-20
高新区,科技园区,127723.52,173,0.7,"['人才服务', '研发支持', '知识产权', '产业集群']",智能制造,1674724.68,0.38,330,1099,13,17,331.95,2021-02-17
碑林区,众创空间,4869.61,29,0.67,"['资源对接', '联合办公']",智能制造,280796.98,0.2,18,99,11,4,374.38,2021-10-07
高新区,孵化器,17372.9,36,0.71,"['创业辅导', '政策咨询']",智能制造,88127.53,0.38,30,130,14,23,819.61,2020-12-12
新城区,众创空间,3112.77,20,0.95,"['联合办公', '创业培训', '资源对接']",电子商务,57749.42,0.2,25,79,8,16,494.78,2020-12-23
碑林区,众创空间,1467.99,44,0.81,"['创业培训', '资源对接']",人工智能,120267.43,0.2,61,335,19,23,680.21,2019-06-19
高新区,孵化器,12571.78,98,0.71,"['投融资服务', '场地服务', '政策咨询']",人工智能,299306.0,0.38,163,699,15,19,761.78,2021-02-01
长安区,科技园区,87567.15,426,0.94,"['人才服务', '产业集群', '研发支持', '知识产权']",电子商务,1016160.13,0.42,576,1613,11,7,884.63,2022-07-08
长安区,科技园区,160395.43,425,0.7,"['产业集群', '研发支持', '人才服务', '知识产权']",人工智能,1191612.48,0.34,533,2098,12,12,577.75,2020-07-18
长安区,科技园区,117606.81,458,0.68,"['产业集群', '人才服务', '研发支持', '知识产权']",电子商务,340370.1,0.42,739,1596,20,18,417.63,2021-10-31
高新区,孵化器,10651.03,52,0.85,"['投融资服务', '政策咨询', '场地服务']",新能源,164410.18,0.43,47,296,7,24,112.87,2021-03-23
曲江新区,孵化器,8050.83,33,0.93,"['政策咨询', '投融资服务', '创业辅导']",智能制造,127632.09,0.3,35,218,8,6,927.65,2020-12-03
经开区,孵化器,8978.77,54,0.84,"['场地服务', '政策咨询']",生物医药,95616.28,0.3,82,366,7,7,345.89,2019-03-23
碑林区,众创空间,3581.77,15,0.71,"['联合办公', '创业培训']",电子商务,11312.67,0.25,22,91,12,23,478.5,2020-07-13
碑林区,众创空间,1230.81,39,0.83,"['联合办公', '资源对接']",新能源,209976.01,0.23,50,290,8,14,540.18,2019-05-10
曲江新区,孵化器,6038.98,57,0.84,"['政策咨询', '创业辅导', '场地服务', '投融资服务']",新能源,234979.43,0.34,29,341,5,6,293.07,2019-01-06
曲江新区,孵化器,5025.57,84,0.82,"['创业辅导', '投融资服务', '场地服务', '政策咨询']",新能源,207135.05,0.34,51,646,11,16,189.53,2020-09-10
新城区,众创空间,2141.89,32,0.71,"['联合办公', '资源对接', '创业培训']",文创设计,9074.37,0.18,34,174,6,7,296.14,2020-10-23
经开区,孵化器,18122.85,37,0.86,"['创业辅导', '场地服务', '政策咨询', '投融资服务']",新能源,201645.43,0.38,38,288,19,7,622.14,2022-01-17
碑林区,众创空间,2530.51,45,0.73,"['资源对接', '联合办公', '创业培训']",人工智能,214797.64,0.2,30,245,7,12,250.83,2019-09-25
曲江新区,孵化器,9384.38,74,0.72,"['场地服务', '创业辅导', '政策咨询']",智能制造,471441.31,0.3,119,241,12,16,498.58,2020-10-25
经开区,孵化器,19889.15,80,0.74,"['政策咨询', '创业辅导', '场地服务', '投融资服务']",新能源,232740.74,0.38,41,535,20,19,674.72,2022-06-17
高新区,科技园区,170181.57,319,0.79,"['产业集群', '人才服务']",电子商务,940414.95,0.47,218,1099,18,5,581.33,2020-02-03
新城区,众创空间,1668.31,36,0.76,"['资源对接', '创业培训', '联合办公']",文创设计,7264.94,0.18,48,184,18,8,344.04,2021-11-05
经开区,科技园区,161021.42,491,0.73,"['研发支持', '产业集群', '知识产权', '人才服务']",文创设计,277037.17,0.38,671,3882,17,14,851.18,2020-08-17
高新区,孵化器,16030.87,95,0.7,"['政策咨询', '投融资服务', '创业辅导']",智能制造,457591.01,0.38,106,678,9,11,472.82,2020-01-06
新城区,众创空间,4690.6,23,0.77,"['创业培训', '资源对接', '联合办公']",智能制造,161148.08,0.16,33,164,18,9,772.88,2022-12-27
高新区,科技园区,71052.68,259,0.81,"['人才服务', '知识产权', '产业集群']",电子商务,450329.83,0.47,185,1671,12,6,170.07,2019-11-26
经开区,科技园区,161008.75,222,0.76,"['人才服务', '研发支持']",生物医药,823977.7,0.3,424,677,6,19,297.74,2022-03-28
经开区,孵化器,13107.42,47,0.88,"['政策咨询', '投融资服务', '创业辅导']",人工智能,201502.18,0.34,59,268,15,24,221.9,2019-01-27
新城区,众创空间,4241.26,18,0.86,"['资源对接', '创业培训']",电子商务,46011.92,0.2,36,135,9,16,187.68,2023-05-05
高新区,孵化器,14469.8,62,0.78,"['场地服务', '创业辅导', '投融资服务']",电子商务,60071.95,0.47,45,446,8,8,814.91,2020-09-18
高新区,孵化器,5016.94,83,0.88,"['创业辅导', '投融资服务']",电子商务,27512.78,0.47,119,592,7,21,548.62,2019-01-21
高新区,科技园区,196533.28,207,0.71,"['知识产权', '产业集群', '人才服务']",电子商务,188787.75,0.47,212,1279,8,7,885.52,2020-12-11
高新区,科技园区,174479.12,326,0.91,"['产业集群', '知识产权']",智能制造,2505761.66,0.38,185,1636,5,23,884.33,2021-10-16
经开区,孵化器,6899.02,30,0.73,"['政策咨询', '投融资服务']",生物医药,167092.5,0.3,29,158,6,18,771.81,2022-11-09
经开区,科技园区,54228.55,200,0.68,"['研发支持', '人才服务', '产业集群']",电子商务,289665.35,0.42,274,1092,5,5,723.58,2019-12-05
经开区,孵化器,16826.74,78,0.75,"['投融资服务', '场地服务']",电子商务,55893.75,0.42,67,552,20,8,731.99,2019-01-21
高新区,孵化器,17337.1,53,0.69,"['投融资服务', '政策咨询']",新能源,241871.71,0.43,42,316,8,22,169.55,2021-02-20
经开区,科技园区,103008.89,375,0.63,"['人才服务', '研发支持', '产业集群']",生物医药,1389071.36,0.3,482,2403,10,7,268.81,2022-05-25
未央区,孵化器,9883.31,51,0.88,"['创业辅导', '政策咨询', '场地服务']",生物医药,162986.14,0.24,43,303,12,13,980.64,2019-06-19
经开区,科技园区,180193.31,454,0.81,"['人才服务', '知识产权', '产业集群']",生物医药,2999223.78,0.3,378,3547,12,18,670.31,2019-04-30
高新区,科技园区,85202.56,412,0.82,"['知识产权', '产业集群', '研发支持', '人才服务']",电子商务,286197.78,0.47,544,1366,5,7,452.15,2019-06-30
经开区,孵化器,15203.58,36,0.68,"['场地服务', '投融资服务', '创业辅导', '政策咨询']",生物医药,211977.13,0.3,27,194,13,19,136.06,2020-01-14
长安区,众创空间,4393.73,38,0.68,"['创业培训', '资源对接']",人工智能,166058.43,0.34,49,296,17,22,584.28,2022-11-25
经开区,孵化器,16836.52,44,0.76,"['场地服务', '投融资服务', '创业辅导']",生物医药,245644.3,0.3,48,191,10,18,638.15,2020-12-10
曲江新区,孵化器,6705.99,36,0.79,"['投融资服务', '场地服务', '政策咨询', '创业辅导']",智能制造,145912.45,0.3,42,251,5,23,460.4,2021-04-06
曲江新区,孵化器,6068.32,98,0.64,"['投融资服务', '政策咨询', '场地服务']",电子商务,52416.45,0.38,183,755,15,15,292.86,2021-05-22
碑林区,众创空间,4008.78,41,0.88,"['联合办公', '资源对接', '创业培训']",人工智能,115873.99,0.2,63,212,14,23,439.18,2021-11-08
高新区,科技园区,177756.18,323,0.74,"['人才服务', '研发支持', '知识产权']",电子商务,621486.29,0.47,399,1323,9,16,684.72,2019-09-22
高新区,孵化器,12507.63,50,0.94,"['场地服务', '创业辅导', '投融资服务', '政策咨询']",生物医药,77348.85,0.33,94,374,16,16,940.44,2019-04-01
碑林区,众创空间,4172.8,43,0.69,"['创业培训', '资源对接', '联合办公']",人工智能,144913.48,0.2,40,198,20,22,670.47,2020-01-13
经开区,科技园区,74766.13,235,0.68,"['研发支持', '产业集群', '知识产权']",智能制造,680065.22,0.34,150,1212,18,10,701.95,2022-01-10
经开区,科技园区,195437.34,393,0.69,"['研发支持', '产业集群', '知识产权']",生物医药,1933624.85,0.3,674,2272,6,4,569.45,2021-11-20
经开区,科技园区,121260.18,114,0.9,"['知识产权', '人才服务', '研发支持', '产业集群']",新能源,189233.07,0.38,74,549,7,15,418.15,2021-04-19
高新区,孵化器,11958.08,88,0.74,"['政策咨询', '投融资服务', '场地服务']",人工智能,76024.25,0.38,156,477,15,9,882.32,2022-09-08
曲江新区,孵化器,11255.95,83,0.71,"['政策咨询', '投融资服务', '创业辅导', '场地服务']",文创设计,124522.47,0.34,53,575,10,14,972.3,2023-08-02
碑林区,众创空间,3223.01,47,0.66,"['联合办公', '资源对接', '创业培训']",电子商务,50514.4,0.25,79,328,13,24,972.74,2021-11-29
曲江新区,科技园区,59833.13,340,0.62,"['产业集群', '人才服务']",智能制造,2616154.57,0.3,354,1535,15,10,744.04,2022-03-22
碑林区,众创空间,3056.85,28,0.7,"['创业培训', '资源对接']",文创设计,21522.22,0.23,31,105,11,21,980.01,2022-05-21
雁塔区,众创空间,1861.64,20,0.94,"['创业培训', '联合办公']",人工智能,89234.63,0.32,18,67,13,13,688.04,2022-04-10
长安区,科技园区,114677.6,430,0.79,"['产业集群', '人才服务', '研发支持']",文创设计,714165.35,0.38,533,2542,20,21,141.0,2020-02-17
高新区,科技园区,90274.57,453,0.69,"['产业集群', '研发支持', '知识产权']",文创设计,710082.06,0.43,845,2701,18,4,425.9,2021-02-08
高新区,科技园区,107196.61,379,0.85,"['人才服务', '产业集群']",新能源,771732.01,0.43,325,2914,9,9,348.62,2019-04-06
高新区,孵化器,8849.65,53,0.82,"['投融资服务', '政策咨询', '创业辅导']",人工智能,232660.79,0.38,71,401,12,4,361.96,2023-04-19
未央区,众创空间,1122.01,48,0.61,"['创业培训', '资源对接', '联合办公']",生物医药,237635.03,0.24,78,193,13,12,238.75,2023-08-30
曲江新区,众创空间,2126.26,28,0.87,"['联合办公', '资源对接']",生物医药,66865.86,0.26,26,146,18,14,910.27,2021-01-21
新城区,众创空间,1397.14,29,0.78,"['联合办公', '资源对接']",新能源,114242.44,0.18,45,183,17,9,537.51,2022-02-06
经开区,孵化器,16308.46,46,0.9,"['政策咨询', '投融资服务', '场地服务']",电子商务,16407.74,0.42,65,178,20,19,385.52,2020-02-04
高新区,孵化器,17950.87,94,0.79,"['创业辅导', '场地服务']",文创设计,70465.34,0.43,123,710,19,22,911.98,2019-08-09
经开区,科技园区,147951.34,436,0.91,"['产业集群', '研发支持']",文创设计,183130.59,0.38,422,1433,12,15,708.43,2021-10-16
高新区,孵化器,14125.57,76,0.62,"['投融资服务', '场地服务']",生物医药,462069.5,0.33,93,550,17,22,572.64,2021-12-15
碑林区,众创空间,3306.86,14,0.92,"['创业培训', '联合办公']",新能源,12231.13,0.23,12,59,12,14,103.88,2020-07-18
高新区,科技园区,120673.06,252,0.82,"['人才服务', '知识产权']",人工智能,989693.27,0.38,229,1147,17,8,243.82,2019-10-28
经开区,众创空间,1301.3,18,0.68,"['创业培训', '联合办公']",电子商务,9535.49,0.42,14,78,13,16,294.92,2021-01-22
高新区,科技园区,134351.11,119,0.93,"['研发支持', '知识产权', '产业集群', '人才服务']",生物医药,944477.85,0.33,213,760,18,22,300.98,2020-11-18
雁塔区,众创空间,4638.59,22,0.76,"['资源对接', '创业培训']",生物医药,95077.18,0.28,37,73,9,6,833.89,2020-11-03
经开区,科技园区,110876.52,368,0.75,"['知识产权', '人才服务', '产业集群']",文创设计,634801.48,0.38,698,2480,8,24,596.5,2019-06-14
高新区,科技园区,125942.3,383,0.7,"['知识产权', '产业集群', '研发支持']",电子商务,634606.09,0.47,594,1234,13,22,923.18,2021-09-20
高新区,科技园区,166086.68,357,0.86,"['人才服务', '研发支持', '知识产权']",生物医药,2131203.23,0.33,614,2220,20,5,367.63,2022-11-17
经开区,众创空间,2450.06,16,0.92,"['资源对接', '创业培训', '联合办公']",生物医药,127164.83,0.3,20,78,9,13,561.53,2023-09-18
经开区,科技园区,77189.11,225,0.87,"['研发支持', '产业集群', '知识产权', '人才服务']",新能源,760128.83,0.38,392,1729,7,10,195.65,2019-09-26
经开区,科技园区,189215.4,408,0.72,"['产业集群', '知识产权', '研发支持']",电子商务,184792.68,0.42,263,3112,10,20,496.48,2020-01-12
曲江新区,孵化器,15283.77,99,0.77,"['场地服务', '创业辅导', '政策咨询', '投融资服务']",智能制造,392101.87,0.3,149,365,9,15,242.71,2023-11-23
曲江新区,科技园区,114176.6,240,0.75,"['知识产权', '人才服务', '研发支持', '产业集群']",生物医药,406161.86,0.26,165,863,16,4,385.11,2023-02-09
雁塔区,众创空间,3724.79,21,0.89,"['联合办公', '创业培训']",电子商务,20236.91,0.4,16,134,16,8,468.42,2022-05-26
经开区,科技园区,64034.76,252,0.81,"['产业集群', '人才服务', '研发支持', '知识产权']",智能制造,2160062.03,0.34,191,1989,19,13,628.43,2019-02-09
长安区,科技园区,137888.53,297,0.89,"['研发支持', '人才服务', '知识产权', '产业集群']",人工智能,767739.43,0.34,572,1941,5,13,515.94,2020-04-28
高新区,科技园区,166498.44,431,0.91,"['知识产权', '人才服务']",生物医药,2015173.11,0.33,574,2507,13,14,407.44,2020-06-10
高新区,科技园区,156720.7,461,0.72,"['知识产权', '人才服务']",人工智能,390744.79,0.38,592,1659,18,20,941.55,2019-04-23
未央区,众创空间,3151.13,42,0.78,"['创业培训', '联合办公']",新能源,147988.97,0.32,23,147,5,4,875.38,2021-05-03
长安区,众创空间,1027.38,47,0.78,"['联合办公', '创业培训', '资源对接']",文创设计,74210.45,0.38,81,273,9,7,167.79,2019-05-24
高新区,科技园区,199366.61,141,0.77,"['知识产权', '研发支持', '人才服务']",电子商务,383800.91,0.47,131,457,19,23,326.81,2019-08-18
灞桥区,众创空间,2450.73,13,0.6,"['资源对接', '创业培训', '联合办公']",生物医药,84788.66,0.17,19,92,9,10,124.12,2023-02-20
雁塔区,孵化器,5465.08,52,0.64,"['创业辅导', '政策咨询']",生物医药,52431.04,0.28,91,227,9,24,928.28,2022-07-30
高新区,科技园区,170076.74,246,0.76,"['研发支持', '知识产权', '人才服务']",智能制造,1364154.15,0.38,457,1595,16,15,480.57,2021-09-27
高新区,孵化器,13557.34,50,0.84,"['场地服务', '投融资服务', '政策咨询', '创业辅导']",人工智能,133097.74,0.38,59,354,14,10,481.92,2020-01-21
新城区,众创空间,2091.3,28,0.69,"['资源对接', '创业培训', '联合办公']",人工智能,37820.91,0.16,34,156,11,14,726.84,2022-01-19
雁塔区,众创空间,3674.48,19,0.8,"['联合办公', '创业培训', '资源对接']",文创设计,29044.32,0.36,22,65,11,12,435.31,2022-10-08
经开区,孵化器,7893.38,69,0.75,"['创业辅导', '场地服务']",人工智能,211748.34,0.34,86,457,18,12,169.87,2021-05-02
曲江新区,孵化器,16263.17,93,0.84,"['创业辅导', '场地服务']",新能源,102425.91,0.34,139,413,7,12,265.95,2019-07-04
新城区,众创空间,3753.18,25,0.81,"['创业培训', '联合办公']",新能源,83389.08,0.18,50,106,12,16,756.7,2021-08-06
长安区,科技园区,175475.68,355,0.85,"['人才服务', '产业集群', '知识产权', '研发支持']",人工智能,1609532.86,0.34,238,1637,14,21,694.09,2020-04-26
经开区,孵化器,8678.66,60,0.65,"['创业辅导', '政策咨询', '投融资服务', '场地服务']",人工智能,151743.91,0.34,81,393,18,7,141.59,2022-02-10
经开区,科技园区,106706.1,363,0.81,"['知识产权', '研发支持', '产业集群', '人才服务']",智能制造,3061547.52,0.34,396,1200,13,14,245.58,2023-06-29
长安区,科技园区,196411.41,329,0.92,"['研发支持', '产业集群', '知识产权']",人工智能,394813.22,0.34,353,1446,11,10,800.76,2023-07-24
雁塔区,众创空间,1221.52,29,0.62,"['资源对接', '创业培训']",智能制造,276851.53,0.32,38,130,7,14,791.79,2019-01-05
经开区,科技园区,151606.65,399,0.8,"['研发支持', '知识产权']",人工智能,307792.24,0.34,723,2221,13,20,262.75,2023-05-22
灞桥区,众创空间,4131.95,45,0.85,"['联合办公', '创业培训']",智能制造,425516.9,0.2,22,256,16,23,556.13,2023-07-09
新城区,众创空间,3570.29,22,0.86,"['联合办公', '资源对接']",新能源,31362.19,0.18,34,145,9,17,693.85,2020-10-24
碑林区,众创空间,1800.28,31,0.65,"['资源对接', '创业培训', '联合办公']",电子商务,18349.77,0.25,55,112,14,13,219.88,2021-02-12
新城区,众创空间,2864.68,30,0.65,"['资源对接', '创业培训', '联合办公']",智能制造,176386.54,0.16,26,171,7,6,302.35,2021-12-11
曲江新区,孵化器,16992.22,97,0.78,"['政策咨询', '场地服务']",电子商务,217360.31,0.38,187,450,14,7,807.9,2023-02-06
经开区,科技园区,58855.0,387,0.84,"['研发支持', '知识产权', '人才服务', '产业集群']",新能源,2138560.41,0.38,682,3057,6,8,607.95,2022-10-13
高新区,科技园区,132255.37,160,0.64,"['产业集群', '知识产权', '人才服务', '研发支持']",新能源,715296.93,0.43,118,1145,10,7,759.3,2020-06-05
未央区,孵化器,17453.39,37,0.7,"['政策咨询', '场地服务', '创业辅导']",电子商务,82289.51,0.35,36,182,16,6,728.31,2019-09-28
经开区,孵化器,13484.93,48,0.85,"['创业辅导', '投融资服务', '场地服务', '政策咨询']",生物医药,167599.28,0.3,35,286,10,22,376.99,2020-12-15
碑林区,众创空间,1674.49,48,0.86,"['创业培训', '联合办公', '资源对接']",电子商务,115847.2,0.25,95,308,8,15,291.97,2023-09-06
经开区,科技园区,64137.15,329,0.64,"['产业集群', '研发支持']",新能源,549198.64,0.38,187,1615,5,14,599.22,2023-06-21
经开区,科技园区,75189.79,168,0.63,"['知识产权', '人才服务', '研发支持']",新能源,964910.26,0.38,309,1327,14,22,406.04,2023-06-19
曲江新区,孵化器,8728.07,38,0.74,"['创业辅导', '场地服务']",电子商务,90966.78,0.38,58,274,18,22,774.37,2023-02-26
高新区,孵化器,10507.39,99,0.71,"['政策咨询', '投融资服务', '场地服务']",新能源,240750.14,0.43,82,415,18,21,214.81,2019-05-08
长安区,科技园区,187307.36,345,0.66,"['研发支持', '知识产权', '人才服务', '产业集群']",电子商务,322592.46,0.42,384,2754,19,16,908.27,2023-04-23
经开区,孵化器,8332.18,77,0.89,"['政策咨询', '场地服务']",智能制造,524878.59,0.34,110,392,18,7,524.31,2021-09-10
高新区,孵化器,11464.83,89,0.89,"['创业辅导', '政策咨询', '场地服务']",新能源,140329.08,0.43,110,407,19,16,950.12,2021-05-01
新城区,众创空间,2832.96,28,0.65,"['创业培训', '资源对接', '联合办公']",电子商务,28280.85,0.2,22,108,9,4,319.81,2021-12-18
高新区,科技园区,180814.64,374,0.65,"['知识产权', '研发支持', '产业集群', '人才服务']",生物医药,2242071.58,0.33,744,1320,19,12,154.34,2019-12-12
雁塔区,众创空间,2760.42,24,0.6,"['资源对接', '创业培训', '联合办公']",新能源,135086.21,0.36,35,176,13,18,376.55,2020-10-18
高新区,科技园区,57115.96,300,0.72,"['研发支持', '人才服务']",文创设计,599786.32,0.43,465,2036,16,11,726.72,2019-04-05
曲江新区,孵化器,17466.95,51,0.72,"['场地服务', '政策咨询']",新能源,132397.25,0.34,74,265,9,11,774.47,2023-12-20
碑林区,众创空间,1498.75,20,0.71,"['创业培训', '资源对接']",生物医药,30794.89,0.17,38,155,8,21,803.56,2019-10-24
曲江新区,孵化器,9671.14,68,0.68,"['创业辅导', '政策咨询']",电子商务,134707.93,0.38,93,308,8,9,765.64,2020-04-29
