qc_id,po_id,material_id,supplier_id,inspection_date,total_quantity,inspected_quantity,defect_quantity,defect_rate,defect_type,severity,action_taken,inspector
QC000801,PO000801,MAT007,SUP003,2022-05-16,150,83,0,0.0024,无,无,接收,Inspector-3
QC000802,PO000802,MAT008,SUP006,2022-04-28,100,100,9,0.0965,功能缺陷,低,特殊批准使用,Inspector-4
QC000803,PO000803,MAT011,SUP011,2022-05-06,150,93,0,0.0031,无,无,接收,Inspector-4
QC000804,PO000804,MAT014,SUP006,2022-04-27,30,30,0,0.0013,无,无,接收,Inspector-4
QC000805,PO000805,MAT018,SUP014,2022-05-12,160,38,0,0.0005,无,无,接收,Inspector-3
QC000806,PO000806,MAT043,SUP005,2022-05-03,45,45,0,0.0004,无,无,接收,Inspector-1
QC000807,PO000807,MAT046,SUP005,2022-05-08,290,67,0,0.0019,无,无,接收,Inspector-4
QC000808,PO000808,MAT002,SUP014,2022-05-22,300,92,0,0.0013,无,无,接收,Inspector-3
QC000809,PO000809,MAT014,SUP006,2022-04-27,50,50,0,0.002,无,无,接收,Inspector-2
QC000810,PO000810,MAT015,SUP005,2022-05-06,80,80,0,0.0022,无,无,接收,Inspector-5
QC000811,PO000811,MAT022,SUP008,2022-05-17,49,49,0,0.0018,无,无,接收,Inspector-3
QC000812,PO000812,MAT028,SUP017,2022-05-14,176,69,0,0.0023,无,无,接收,Inspector-5
QC000813,PO000813,MAT033,SUP011,2022-05-04,320,38,0,0.0021,无,无,接收,Inspector-2
QC000814,PO000814,MAT034,SUP014,2022-05-21,200,41,0,0.0011,无,无,接收,Inspector-2
QC000815,PO000815,MAT044,SUP001,2022-05-18,46,46,0,0.0032,无,无,接收,Inspector-1
QC000816,PO000816,MAT045,SUP005,2022-05-06,100,100,0,0.0007,无,无,接收,Inspector-1
QC000817,PO000817,MAT001,SUP005,2022-05-03,100,100,0,0.0043,无,无,接收,Inspector-1
QC000818,PO000818,MAT011,SUP004,2022-05-01,120,30,0,0.002,无,无,接收,Inspector-4
QC000819,PO000819,MAT015,SUP005,2022-05-09,80,80,0,0.0022,无,无,接收,Inspector-3
QC000820,PO000820,MAT025,SUP007,2022-05-19,48,48,0,0.0009,无,无,接收,Inspector-1
QC000821,PO000821,MAT032,SUP019,2022-04-29,103,78,0,0.0002,无,无,接收,Inspector-3
QC000822,PO000822,MAT003,SUP018,2022-04-29,60,60,0,0.0048,无,无,接收,Inspector-3
QC000823,PO000823,MAT008,SUP014,2022-05-21,150,83,0,0.0002,无,无,接收,Inspector-3
QC000824,PO000824,MAT013,SUP020,2022-05-18,75,75,0,0.0047,无,无,接收,Inspector-3
QC000825,PO000825,MAT021,SUP005,2022-05-12,140,85,0,0.0014,无,无,接收,Inspector-5
QC000826,PO000826,MAT023,SUP012,2022-05-06,120,95,7,0.0645,外观不符,中,特殊批准使用,Inspector-1
QC000827,PO000827,MAT044,SUP001,2022-05-25,46,46,2,0.0549,杂质混入,中,退回,Inspector-4
QC000828,PO000828,MAT050,SUP009,2022-05-14,70,70,0,0.0009,无,无,接收,Inspector-2
QC000829,PO000829,MAT001,SUP005,2022-05-05,100,100,0,0.001,无,无,接收,Inspector-3
QC000830,PO000830,MAT014,SUP006,2022-05-06,54,54,0,0.0014,无,无,接收,Inspector-2
QC000831,PO000831,MAT027,SUP005,2022-05-06,250,67,0,0.0036,无,无,接收,Inspector-2
QC000832,PO000832,MAT036,SUP006,2022-05-03,151,80,0,0.0001,无,无,接收,Inspector-2
QC000833,PO000833,MAT043,SUP005,2022-05-07,20,20,0,0.001,无,无,接收,Inspector-5
QC000834,PO000834,MAT047,SUP002,2022-05-19,100,100,9,0.0963,尺寸偏差,中,退回,Inspector-4
QC000835,PO000835,MAT050,SUP009,2022-05-08,157,58,13,0.0835,外观不符,高,折价接收,Inspector-4
QC000836,PO000836,MAT004,SUP005,2022-05-07,250,35,0,0.0002,无,无,接收,Inspector-5
QC000837,PO000837,MAT012,SUP004,2022-05-03,100,100,8,0.0834,材质问题,中,折价接收,Inspector-3
QC000838,PO000838,MAT013,SUP016,2022-05-22,140,100,0,0.0043,无,无,接收,Inspector-5
QC000839,PO000839,MAT019,SUP009,2022-05-11,330,69,1,0.0037,轻微外观瑕疵,低,特殊批准使用,Inspector-5
QC000840,PO000840,MAT034,SUP014,2022-05-23,100,100,0,0.0015,无,无,接收,Inspector-2
QC000841,PO000841,MAT044,SUP001,2022-05-29,50,50,0,0.0036,无,无,接收,Inspector-1
QC000842,PO000842,MAT045,SUP005,2022-05-09,200,81,0,0.0049,无,无,接收,Inspector-3
QC000843,PO000843,MAT046,SUP005,2022-05-06,260,100,0,0.0005,无,无,接收,Inspector-2
QC000844,PO000844,MAT001,SUP005,2022-05-10,100,100,0,0.0026,无,无,接收,Inspector-4
QC000845,PO000845,MAT022,SUP008,2022-05-18,44,44,0,0.003,无,无,接收,Inspector-5
QC000846,PO000846,MAT029,SUP007,2022-05-12,37,37,0,0.0013,无,无,接收,Inspector-4
QC000847,PO000847,MAT036,SUP006,2022-05-01,200,70,0,0.001,无,无,接收,Inspector-2
QC000848,PO000848,MAT008,SUP010,2022-05-05,150,70,0,0.0009,无,无,接收,Inspector-5
QC000849,PO000849,MAT009,SUP019,2022-05-07,200,42,0,0.0009,无,无,接收,Inspector-1
QC000850,PO000850,MAT015,SUP005,2022-05-11,160,47,0,0.0032,无,无,接收,Inspector-3
QC000851,PO000851,MAT018,SUP014,2022-05-18,220,54,0,0.0019,无,无,接收,Inspector-4
QC000852,PO000852,MAT022,SUP008,2022-05-17,37,37,0,0.0251,材质问题,低,供应商返工,Inspector-2
QC000853,PO000853,MAT023,SUP012,2022-05-14,200,56,0,0.0033,无,无,接收,Inspector-3
QC000854,PO000854,MAT026,SUP006,2022-05-03,94,94,0,0.003,无,无,接收,Inspector-1
QC000855,PO000855,MAT039,SUP020,2022-05-15,97,97,3,0.0329,材质问题,高,供应商返工,Inspector-5
QC000856,PO000856,MAT040,SUP002,2022-06-03,200,35,18,0.0904,杂质混入,低,退回,Inspector-5
QC000857,PO000857,MAT044,SUP001,2022-05-26,100,100,0,0.0008,无,无,接收,Inspector-4
QC000858,PO000858,MAT001,SUP005,2022-05-09,100,100,0,0.0006,无,无,接收,Inspector-3
QC000859,PO000859,MAT002,SUP010,2022-05-13,200,76,0,0.0046,无,无,接收,Inspector-2
QC000860,PO000860,MAT011,SUP011,2022-05-16,130,43,0,0.0017,无,无,接收,Inspector-5
QC000861,PO000861,MAT014,SUP006,2022-05-14,40,40,0,0.0025,无,无,接收,Inspector-4
QC000862,PO000862,MAT034,SUP014,2022-05-22,100,100,0,0.0022,无,无,接收,Inspector-5
QC000863,PO000863,MAT042,SUP007,2022-05-21,120,44,0,0.0014,无,无,接收,Inspector-1
QC000864,PO000864,MAT001,SUP005,2022-05-08,100,100,0,0.0038,无,无,接收,Inspector-2
QC000865,PO000865,MAT003,SUP003,2022-05-29,78,78,0,0.0045,无,无,接收,Inspector-2
QC000866,PO000866,MAT005,SUP005,2022-05-17,50,50,0,0.0026,无,无,接收,Inspector-4
QC000867,PO000867,MAT014,SUP010,2022-05-09,55,55,0,0.0047,无,无,接收,Inspector-5
QC000868,PO000868,MAT019,SUP001,2022-05-27,150,96,0,0.0004,无,无,接收,Inspector-5
QC000869,PO000869,MAT022,SUP008,2022-05-21,41,41,0,0.0014,无,无,接收,Inspector-2
QC000870,PO000870,MAT026,SUP006,2022-05-08,200,76,0,0.0048,无,无,接收,Inspector-4
QC000871,PO000871,MAT035,SUP020,2022-05-27,120,82,0,0.0047,无,无,接收,Inspector-5
QC000872,PO000872,MAT036,SUP006,2022-05-08,96,96,0,0.0016,无,无,接收,Inspector-1
QC000873,PO000873,MAT039,SUP016,2022-05-22,200,49,0,0.0019,无,无,接收,Inspector-4
QC000874,PO000874,MAT045,SUP005,2022-05-16,100,100,0,0.0014,无,无,接收,Inspector-1
QC000875,PO000875,MAT001,SUP005,2022-05-15,100,100,0,0.0035,无,无,接收,Inspector-2
QC000876,PO000876,MAT013,SUP020,2022-05-22,140,97,0,0.0046,无,无,接收,Inspector-3
QC000877,PO000877,MAT019,SUP001,2022-05-24,150,96,13,0.089,尺寸偏差,中,折价接收,Inspector-5
QC000878,PO000878,MAT022,SUP008,2022-05-23,50,50,0,0.0034,无,无,接收,Inspector-1
QC000879,PO000879,MAT024,SUP005,2022-05-20,100,100,0,0.0012,无,无,接收,Inspector-5
QC000880,PO000880,MAT027,SUP005,2022-05-14,190,67,0,0.0019,无,无,接收,Inspector-2
QC000881,PO000881,MAT032,SUP002,2022-05-27,220,42,0,0.003,无,无,接收,Inspector-2
QC000882,PO000882,MAT034,SUP014,2022-05-21,100,100,0,0.0023,无,无,接收,Inspector-5
QC000883,PO000883,MAT038,SUP014,2022-05-23,200,87,0,0.0014,无,无,接收,Inspector-4
QC000884,PO000884,MAT044,SUP007,2022-05-17,50,50,2,0.0525,外观不符,高,供应商返工,Inspector-4
QC000885,PO000885,MAT046,SUP005,2022-05-13,220,47,1,0.0049,轻微外观瑕疵,低,特殊批准使用,Inspector-4
QC000886,PO000886,MAT047,SUP015,2022-05-07,50,50,1,0.0228,包装破损,低,折价接收,Inspector-4
QC000887,PO000887,MAT048,SUP009,2022-05-27,300,38,0,0.0014,无,无,接收,Inspector-2
QC000888,PO000888,MAT001,SUP005,2022-05-11,100,100,0,0.0011,无,无,接收,Inspector-1
QC000889,PO000889,MAT002,SUP006,2022-05-17,289,45,0,0.001,无,无,接收,Inspector-3
QC000890,PO000890,MAT008,SUP010,2022-05-21,100,100,5,0.0528,包装破损,低,特殊批准使用,Inspector-2
QC000891,PO000891,MAT011,SUP011,2022-05-15,100,100,0,0.0022,无,无,接收,Inspector-2
QC000892,PO000892,MAT014,SUP010,2022-05-10,30,30,0,0.0036,无,无,接收,Inspector-2
QC000893,PO000893,MAT015,SUP005,2022-05-19,200,84,0,0.0001,无,无,接收,Inspector-1
QC000894,PO000894,MAT025,SUP007,2022-05-16,50,50,0,0.0025,无,无,接收,Inspector-5
QC000895,PO000895,MAT030,SUP020,2022-05-19,143,80,0,0.0019,无,无,接收,Inspector-2
QC000896,PO000896,MAT036,SUP006,2022-05-08,451,97,1,0.0042,轻微外观瑕疵,低,特殊批准使用,Inspector-3
QC000897,PO000897,MAT041,SUP016,2022-05-25,230,63,0,0.0002,无,无,接收,Inspector-1
QC000898,PO000898,MAT044,SUP001,2022-05-26,100,100,0,0.0027,无,无,接收,Inspector-4
QC000899,PO000899,MAT022,SUP008,2022-05-29,44,44,0,0.0011,无,无,接收,Inspector-1
QC000900,PO000900,MAT023,SUP012,2022-05-20,120,92,0,0.0036,无,无,接收,Inspector-3
QC000901,PO000901,MAT029,SUP001,2022-05-29,80,80,0,0.0037,无,无,接收,Inspector-1
QC000902,PO000902,MAT037,SUP006,2022-05-12,210,69,19,0.0918,清洁度不足,中,供应商返工,Inspector-5
QC000903,PO000903,MAT045,SUP005,2022-05-21,200,79,0,0.0001,无,无,接收,Inspector-4
QC000904,PO000904,MAT046,SUP005,2022-05-22,290,85,0,0.0002,无,无,接收,Inspector-3
QC000905,PO000905,MAT001,SUP005,2022-05-13,100,100,0,0.0017,无,无,接收,Inspector-4
QC000906,PO000906,MAT004,SUP005,2022-05-13,250,55,0,0.003,无,无,接收,Inspector-3
QC000907,PO000907,MAT005,SUP005,2022-05-13,120,86,0,0.0001,无,无,接收,Inspector-4
QC000908,PO000908,MAT013,SUP016,2022-05-29,120,30,0,0.0019,无,无,接收,Inspector-2
QC000909,PO000909,MAT015,SUP005,2022-05-16,120,43,0,0.002,无,无,接收,Inspector-5
QC000910,PO000910,MAT018,SUP014,2022-05-29,160,41,0,0.0022,无,无,接收,Inspector-5
QC000911,PO000911,MAT019,SUP001,2022-06-04,250,64,0,0.0007,无,无,接收,Inspector-4
QC000912,PO000912,MAT022,SUP008,2022-05-24,66,66,0,0.001,无,无,接收,Inspector-5
QC000913,PO000913,MAT026,SUP006,2022-05-12,300,77,6,0.023,包装破损,低,供应商返工,Inspector-3
QC000914,PO000914,MAT050,SUP009,2022-05-19,60,60,0,0.0026,无,无,接收,Inspector-5
QC000915,PO000915,MAT001,SUP005,2022-05-15,100,100,0,0.0035,无,无,接收,Inspector-5
QC000916,PO000916,MAT008,SUP010,2022-05-15,100,100,0,0.0043,无,无,接收,Inspector-1
QC000917,PO000917,MAT011,SUP004,2022-05-15,40,40,0,0.0015,无,无,接收,Inspector-2
QC000918,PO000918,MAT012,SUP004,2022-05-13,50,50,0,0.0037,无,无,接收,Inspector-2
QC000919,PO000919,MAT014,SUP006,2022-05-11,60,60,0,0.0046,无,无,接收,Inspector-3
QC000920,PO000920,MAT016,SUP008,2022-05-26,201,75,0,0.0031,无,无,接收,Inspector-5
QC000921,PO000921,MAT027,SUP005,2022-05-17,240,54,1,0.0048,轻微外观瑕疵,低,特殊批准使用,Inspector-2
QC000922,PO000922,MAT031,SUP009,2022-05-19,100,100,0,0.0015,无,无,接收,Inspector-5
QC000923,PO000923,MAT033,SUP011,2022-05-22,300,82,9,0.0331,材质问题,高,供应商返工,Inspector-3
QC000924,PO000924,MAT034,SUP014,2022-05-26,200,100,0,0.0047,无,无,接收,Inspector-3
QC000925,PO000925,MAT036,SUP006,2022-05-12,155,55,0,0.0009,无,无,接收,Inspector-4
QC000926,PO000926,MAT007,SUP003,2022-05-31,200,30,0,0.0017,无,无,接收,Inspector-1
QC000927,PO000927,MAT025,SUP007,2022-05-26,60,60,0,0.0003,无,无,接收,Inspector-1
QC000928,PO000928,MAT044,SUP007,2022-05-23,100,100,7,0.0717,杂质混入,低,供应商返工,Inspector-5
QC000929,PO000929,MAT045,SUP005,2022-05-26,200,86,0,0.0046,无,无,接收,Inspector-5
QC000930,PO000930,MAT046,SUP005,2022-05-17,190,88,0,0.0049,无,无,接收,Inspector-5
QC000931,PO000931,MAT047,SUP019,2022-05-15,50,50,0,0.0001,无,无,接收,Inspector-5
QC000932,PO000932,MAT048,SUP009,2022-05-22,240,41,0,0.0011,无,无,接收,Inspector-3
QC000933,PO000933,MAT001,SUP005,2022-05-18,100,100,0,0.0012,无,无,接收,Inspector-5
QC000934,PO000934,MAT014,SUP006,2022-05-15,18,18,0,0.0049,无,无,接收,Inspector-2
QC000935,PO000935,MAT021,SUP005,2022-05-23,220,73,0,0.0037,无,无,接收,Inspector-3
QC000936,PO000936,MAT023,SUP012,2022-05-26,140,91,0,0.0013,无,无,接收,Inspector-4
QC000937,PO000937,MAT028,SUP017,2022-05-23,560,33,1,0.0032,轻微尺寸偏差,低,特殊批准使用,Inspector-5
QC000938,PO000938,MAT036,SUP006,2022-05-13,255,96,24,0.0957,标签错误,中,特殊批准使用,Inspector-2
QC000939,PO000939,MAT038,SUP014,2022-05-31,250,94,0,0.0032,无,无,接收,Inspector-1
QC000940,PO000940,MAT008,SUP010,2022-05-17,250,87,8,0.0341,标签错误,低,供应商返工,Inspector-5
QC000941,PO000941,MAT015,SUP005,2022-05-27,180,54,0,0.0034,无,无,接收,Inspector-2
QC000942,PO000942,MAT017,SUP008,2022-06-03,75,75,0,0.004,无,无,接收,Inspector-3
QC000943,PO000943,MAT018,SUP014,2022-05-28,120,49,0,0.0048,无,无,接收,Inspector-2
QC000944,PO000944,MAT030,SUP016,2022-06-04,59,59,0,0.0018,无,无,接收,Inspector-2
QC000945,PO000945,MAT039,SUP016,2022-05-31,200,82,0,0.0032,无,无,接收,Inspector-1
QC000946,PO000946,MAT043,SUP005,2022-05-18,65,65,0,0.0018,无,无,接收,Inspector-3
QC000947,PO000947,MAT045,SUP005,2022-05-16,100,100,0,0.0044,无,无,接收,Inspector-3
QC000948,PO000948,MAT050,SUP009,2022-06-01,120,63,11,0.0947,材质问题,中,特殊批准使用,Inspector-4
QC000949,PO000949,MAT001,SUP005,2022-05-21,200,92,0,0.0014,无,无,接收,Inspector-2
QC000950,PO000950,MAT003,SUP018,2022-05-12,60,60,0,0.002,无,无,接收,Inspector-5
QC000951,PO000951,MAT014,SUP010,2022-05-20,40,40,0,0.0037,无,无,接收,Inspector-1
QC000952,PO000952,MAT019,SUP009,2022-05-30,350,91,0,0.0023,无,无,接收,Inspector-1
QC000953,PO000953,MAT023,SUP012,2022-05-24,180,86,4,0.0231,杂质混入,低,特殊批准使用,Inspector-2
QC000954,PO000954,MAT024,SUP005,2022-05-21,100,100,0,0.0001,无,无,接收,Inspector-1
QC000955,PO000955,MAT028,SUP017,2022-05-28,330,93,0,0.0026,无,无,接收,Inspector-1
QC000956,PO000956,MAT034,SUP014,2022-06-08,100,100,0,0.004,无,无,接收,Inspector-4
QC000957,PO000957,MAT002,SUP010,2022-05-18,200,92,8,0.0406,材质问题,低,退回,Inspector-4
QC000958,PO000958,MAT011,SUP011,2022-05-23,120,73,0,0.0028,无,无,接收,Inspector-2
QC000959,PO000959,MAT013,SUP016,2022-06-02,60,60,0,0.003,无,无,接收,Inspector-5
QC000960,PO000960,MAT014,SUP006,2022-05-15,80,80,0,0.004,无,无,接收,Inspector-1
QC000961,PO000961,MAT044,SUP007,2022-05-30,100,100,0,0.0037,无,无,接收,Inspector-2
QC000962,PO000962,MAT046,SUP005,2022-05-21,100,100,0,0.003,无,无,接收,Inspector-1
QC000963,PO000963,MAT047,SUP019,2022-05-19,100,100,7,0.0758,杂质混入,低,供应商返工,Inspector-4
QC000964,PO000964,MAT049,SUP007,2022-06-04,140,43,0,0.0044,无,无,接收,Inspector-3
QC000965,PO000965,MAT013,SUP016,2022-06-06,100,100,0,0.0039,无,无,接收,Inspector-5
QC000966,PO000966,MAT019,SUP001,2022-06-11,379,36,1,0.0039,轻微尺寸偏差,低,特殊批准使用,Inspector-1
QC000967,PO000967,MAT027,SUP005,2022-05-22,250,61,0,0.0014,无,无,接收,Inspector-5
QC000968,PO000968,MAT001,SUP005,2022-05-26,100,100,0,0.0047,无,无,接收,Inspector-2
QC000969,PO000969,MAT034,SUP014,2022-06-10,183,41,0,0.0009,无,无,接收,Inspector-3
QC000970,PO000970,MAT036,SUP006,2022-05-20,445,46,1,0.0027,轻微外观瑕疵,低,特殊批准使用,Inspector-5
QC000971,PO000971,MAT045,SUP005,2022-05-25,200,86,0,0.0021,无,无,接收,Inspector-5
QC000972,PO000972,MAT046,SUP005,2022-05-26,190,73,0,0.0005,无,无,接收,Inspector-4
QC000973,PO000973,MAT015,SUP005,2022-05-30,120,49,0,0.003,无,无,接收,Inspector-4
QC000974,PO000974,MAT001,SUP005,2022-05-27,100,100,0,0.0013,无,无,接收,Inspector-4
QC000975,PO000975,MAT011,SUP011,2022-05-29,120,34,0,0.0036,无,无,接收,Inspector-1
QC000976,PO000976,MAT017,SUP008,2022-06-03,88,88,0,0.0028,无,无,接收,Inspector-1
QC000977,PO000977,MAT018,SUP014,2022-06-08,240,46,11,0.0496,包装破损,中,折价接收,Inspector-4
QC000978,PO000978,MAT025,SUP007,2022-05-31,19,19,0,0.0047,无,无,接收,Inspector-2
QC000979,PO000979,MAT029,SUP001,2022-06-12,45,45,1,0.0285,包装破损,低,特殊批准使用,Inspector-5
QC000980,PO000980,MAT046,SUP005,2022-05-26,190,79,0,0.0015,无,无,接收,Inspector-2
QC000981,PO000981,MAT048,SUP009,2022-05-29,320,36,1,0.0044,轻微外观瑕疵,低,特殊批准使用,Inspector-4
QC000982,PO000982,MAT050,SUP009,2022-06-01,90,90,0,0.0021,无,无,接收,Inspector-4
QC000983,PO000983,MAT006,SUP014,2022-06-12,330,63,0,0.0026,无,无,接收,Inspector-1
QC000984,PO000984,MAT012,SUP004,2022-05-24,48,48,0,0.0035,无,无,接收,Inspector-5
QC000985,PO000985,MAT014,SUP010,2022-05-23,20,20,0,0.0038,无,无,接收,Inspector-3
QC000986,PO000986,MAT020,SUP003,2022-06-05,142,81,3,0.0278,外观不符,中,特殊批准使用,Inspector-3
QC000987,PO000987,MAT024,SUP005,2022-05-30,300,90,1,0.004,轻微外观瑕疵,低,特殊批准使用,Inspector-1
QC000988,PO000988,MAT044,SUP001,2022-06-12,100,100,0,0.0031,无,无,接收,Inspector-2
QC000989,PO000989,MAT045,SUP005,2022-05-24,100,100,0,0.0029,无,无,接收,Inspector-3
QC000990,PO000990,MAT050,SUP009,2022-06-06,60,60,5,0.0834,材质问题,低,退回,Inspector-1
QC000991,PO000991,MAT001,SUP005,2022-05-31,100,100,0,0.0022,无,无,接收,Inspector-3
QC000992,PO000992,MAT003,SUP018,2022-05-19,80,80,0,0.004,无,无,接收,Inspector-5
QC000993,PO000993,MAT013,SUP020,2022-06-10,173,30,0,0.0026,无,无,接收,Inspector-3
QC000994,PO000994,MAT019,SUP007,2022-06-01,150,61,3,0.025,清洁度不足,低,折价接收,Inspector-4
QC000995,PO000995,MAT022,SUP008,2022-06-05,47,47,2,0.0483,尺寸偏差,低,特殊批准使用,Inspector-4
QC000996,PO000996,MAT026,SUP006,2022-05-24,200,52,0,0.0022,无,无,接收,Inspector-1
QC000997,PO000997,MAT039,SUP016,2022-06-09,200,68,8,0.0433,功能缺陷,中,折价接收,Inspector-5
QC000998,PO000998,MAT040,SUP002,2022-06-13,140,80,10,0.0739,功能缺陷,低,供应商返工,Inspector-5
QC000999,PO000999,MAT043,SUP005,2022-05-28,60,60,0,0.0048,无,无,接收,Inspector-4
QC001000,PO001000,MAT002,SUP006,2022-05-22,300,33,0,0.0017,无,无,接收,Inspector-4
QC001001,PO001001,MAT008,SUP014,2022-06-14,150,32,0,0.0027,无,无,接收,Inspector-1
QC001002,PO001002,MAT014,SUP006,2022-05-23,70,70,6,0.0901,清洁度不足,低,退回,Inspector-1
QC001003,PO001003,MAT025,SUP001,2022-06-10,50,50,0,0.0036,无,无,接收,Inspector-2
QC001004,PO001004,MAT028,SUP017,2022-06-05,240,31,0,0.0035,无,无,接收,Inspector-3
QC001005,PO001005,MAT030,SUP006,2022-05-26,55,55,0,0.0031,无,无,接收,Inspector-2
QC001006,PO001006,MAT036,SUP006,2022-05-25,172,75,0,0.0007,无,无,接收,Inspector-4
QC001007,PO001007,MAT037,SUP006,2022-05-21,215,34,0,0.0042,无,无,接收,Inspector-4
QC001008,PO001008,MAT050,SUP009,2022-06-02,130,77,0,0.0006,无,无,接收,Inspector-4
QC001009,PO001009,MAT001,SUP005,2022-06-04,100,100,0,0.0046,无,无,接收,Inspector-5
QC001010,PO001010,MAT019,SUP001,2022-06-14,350,96,32,0.0939,杂质混入,低,供应商返工,Inspector-1
QC001011,PO001011,MAT034,SUP014,2022-06-17,100,100,0,0.0047,无,无,接收,Inspector-4
QC001012,PO001012,MAT044,SUP007,2022-06-13,50,50,2,0.0468,外观不符,低,特殊批准使用,Inspector-3
QC001013,PO001013,MAT046,SUP005,2022-05-29,310,48,1,0.0043,轻微尺寸偏差,低,特殊批准使用,Inspector-1
QC001014,PO001014,MAT009,SUP019,2022-05-30,250,54,21,0.0863,功能缺陷,中,特殊批准使用,Inspector-1
QC001015,PO001015,MAT015,SUP005,2022-06-02,140,33,0,0.0033,无,无,接收,Inspector-3
QC001016,PO001016,MAT019,SUP009,2022-06-06,350,92,0,0.0022,无,无,接收,Inspector-4
QC001017,PO001017,MAT022,SUP008,2022-06-09,28,28,0,0.0022,无,无,接收,Inspector-5
QC001018,PO001018,MAT023,SUP012,2022-05-29,260,48,0,0.0009,无,无,接收,Inspector-4
QC001019,PO001019,MAT027,SUP005,2022-06-04,120,91,0,0.0019,无,无,接收,Inspector-4
QC001020,PO001020,MAT031,SUP009,2022-06-11,100,100,3,0.0385,标签错误,低,退回,Inspector-5
QC001021,PO001021,MAT045,SUP005,2022-06-03,200,98,0,0.0008,无,无,接收,Inspector-5
QC001022,PO001022,MAT001,SUP005,2022-06-07,100,100,0,0.0009,无,无,接收,Inspector-3
QC001023,PO001023,MAT002,SUP014,2022-06-11,300,99,0,0.0005,无,无,接收,Inspector-4
QC001024,PO001024,MAT004,SUP005,2022-05-31,150,89,0,0.0026,无,无,接收,Inspector-4
QC001025,PO001025,MAT012,SUP004,2022-05-29,100,100,5,0.0598,杂质混入,低,供应商返工,Inspector-4
QC001026,PO001026,MAT013,SUP016,2022-06-13,140,79,10,0.0741,尺寸偏差,低,折价接收,Inspector-2
QC001027,PO001027,MAT022,SUP008,2022-06-11,61,61,1,0.0259,功能缺陷,低,特殊批准使用,Inspector-4
QC001028,PO001028,MAT033,SUP013,2022-06-13,200,31,14,0.0707,清洁度不足,低,特殊批准使用,Inspector-1
QC001029,PO001029,MAT034,SUP014,2022-06-07,100,100,0,0.0046,无,无,接收,Inspector-1
QC001030,PO001030,MAT039,SUP016,2022-06-15,200,73,0,0.0011,无,无,接收,Inspector-4
QC001031,PO001031,MAT044,SUP001,2022-06-17,50,50,0,0.0049,无,无,接收,Inspector-1
QC001032,PO001032,MAT011,SUP011,2022-06-01,70,70,0,0.0018,无,无,接收,Inspector-2
QC001033,PO001033,MAT022,SUP008,2022-06-10,61,61,0,0.0007,无,无,接收,Inspector-2
QC001034,PO001034,MAT029,SUP007,2022-06-10,45,45,2,0.058,标签错误,低,特殊批准使用,Inspector-3
QC001035,PO001035,MAT032,SUP002,2022-06-10,200,94,0,0.0008,无,无,接收,Inspector-3
QC001036,PO001036,MAT050,SUP009,2022-06-09,70,70,0,0.0006,无,无,接收,Inspector-4
QC001037,PO001037,MAT001,SUP005,2022-06-02,100,100,0,0.0044,无,无,接收,Inspector-3
QC001038,PO001038,MAT005,SUP005,2022-06-02,80,80,0,0.0028,无,无,接收,Inspector-1
QC001039,PO001039,MAT010,SUP011,2022-06-04,73,73,0,0.0009,无,无,接收,Inspector-5
QC001040,PO001040,MAT014,SUP006,2022-05-29,30,30,0,0.005,无,无,接收,Inspector-1
QC001041,PO001041,MAT022,SUP008,2022-06-10,38,38,3,0.0948,标签错误,低,退回,Inspector-4
QC001042,PO001042,MAT036,SUP006,2022-05-29,368,92,1,0.0027,轻微外观瑕疵,低,特殊批准使用,Inspector-2
QC001043,PO001043,MAT044,SUP001,2022-06-15,50,50,0,0.0008,无,无,接收,Inspector-1
QC001044,PO001044,MAT001,SUP005,2022-06-09,100,100,0,0.0046,无,无,接收,Inspector-2
QC001045,PO001045,MAT008,SUP010,2022-05-31,150,38,0,0.0011,无,无,接收,Inspector-1
QC001046,PO001046,MAT047,SUP002,2022-06-23,100,100,6,0.065,材质问题,低,供应商返工,Inspector-3
QC001047,PO001047,MAT007,SUP003,2022-06-12,200,35,13,0.069,清洁度不足,中,退回,Inspector-4
QC001048,PO001048,MAT011,SUP011,2022-06-07,110,83,0,0.0007,无,无,接收,Inspector-1
QC001049,PO001049,MAT018,SUP010,2022-06-05,100,100,0,0.0025,无,无,接收,Inspector-3
QC001050,PO001050,MAT021,SUP005,2022-06-03,140,43,0,0.0032,无,无,接收,Inspector-4
QC001051,PO001051,MAT022,SUP008,2022-06-13,40,40,0,0.0048,无,无,接收,Inspector-2
QC001052,PO001052,MAT026,SUP006,2022-05-29,100,100,0,0.001,无,无,接收,Inspector-5
QC001053,PO001053,MAT027,SUP005,2022-06-09,110,94,0,0.0047,无,无,接收,Inspector-4
QC001054,PO001054,MAT036,SUP006,2022-05-31,105,40,0,0.0006,无,无,接收,Inspector-1
QC001055,PO001055,MAT039,SUP020,2022-06-18,381,47,15,0.0409,材质问题,高,退回,Inspector-4
QC001056,PO001056,MAT044,SUP001,2022-06-20,250,70,17,0.0711,清洁度不足,低,折价接收,Inspector-5
QC001057,PO001057,MAT001,SUP005,2022-06-13,100,100,0,0.0004,无,无,接收,Inspector-5
QC001058,PO001058,MAT022,SUP008,2022-06-16,56,56,0,0.0003,无,无,接收,Inspector-5
QC001059,PO001059,MAT034,SUP014,2022-06-14,200,55,0,0.0008,无,无,接收,Inspector-2
